情報ソース,期限,開発プロダクト,関連メモ,サブアイテム,詳細,関連進捗ログ,優先度,親アイテム,ステータス,技術タグ,タスク名
,,タスクマネージャー,,"20b30729-ab39-80dd-a4d1-e573233dfc71, 20b30729-ab39-80cf-8716-d947d3636a6f",,,,,未着手,,ユーザー認証の実装
,,タスクマネージャー,,"20b30729-ab39-8077-b5dd-ee49afd0601d, 20b30729-ab39-80aa-9302-f12b40b6a021",,,,,未着手,,フロントエンドの開発
,,タスクマネージャー,,"20b30729-ab39-8056-83a9-d3ffdab3b787, 20b30729-ab39-805c-949f-ee1f3b862aee",,,,,未着手,,データベース
,,タスクマネージャー,,"20b30729-ab39-801e-bdda-c306feafa082, 20b30729-ab39-8093-8897-eba86fa4ba7a",,,,,未着手,,バックエンドAPIの設計と実装
,2025-06-07,タスクマネージャー,,,Dockerfile,,,,完了,Docker,Dockerによる環境構築
,2025-06-23,タスクマネージャー,,,"POST /auth/register：ユーザー登録
POST /auth/login：ログイン
GET /auth/me：ログイン中のユーザー情報取得",,,20b30729-ab39-80ee-b4e3-e4cb7f0a08b9,未着手,,エンドポイントの実装
,2025-06-23,タスクマネージャー,,,JWT（JSON Web Token）を使用したトークンベースの認証,,,20b30729-ab39-80ee-b4e3-e4cb7f0a08b9,未着手,,実装方法
,2025-06-21,タスクマネージャー,,,"タスクの一覧表示
タスクの作成・編集・削除
ステータスの変更
フィルタリングや検索機能",,,20b30729-ab39-8046-a9ef-f756d655d912,未着手,,機能実装
,2025-06-21,タスクマネージャー,,,ReactやVue.jsなどのモダンなフレームワーク,,,20b30729-ab39-8046-a9ef-f756d655d912,未着手,,技術選定
,2025-06-17,タスクマネージャー,,,"users：ユーザー情報
tasks：タスク情報（タイトル、説明、ステータス、期限、ユーザーIDなど）",,,20b30729-ab39-8000-ba96-cf3f8843a76d,未着手,,テーブル設計
,2025-06-16,タスクマネージャー,,,SQLiteやPostgreSQLなど,,,20b30729-ab39-8000-ba96-cf3f8843a76d,未着手,,データベースの選定
,2025-06-08,タスクマネージャー,,,"GET /tasks：タスクの一覧取得
POST /tasks：新規タスクの作成
PUT /tasks/{id}：タスクの更新
DELETE /tasks/{id}：タスクの削除",,,20b30729-ab39-80ee-8c87-e6c5aa14d525,未着手,,エンドポイント設計
,2025-06-08,タスクマネージャー,,,FastAPIやFlaskなどの軽量なフレームワークを検討,,,20b30729-ab39-80ee-8c87-e6c5aa14d525,完了,Flask,フレームワーク選定
,2025-06-09,タスクマネージャー,,,"1. データベースのマイグレーション設定
2. ユーザーモデルの実装
3. 認証機能の実装
4. タスク管理機能の実装",,,,未着手,,基本機能の実装計画
,2025-06-07,タスクマネージャー,,,"• [ ]  プロジェクトディレクトリの作成
• [ ] Notion上にて進捗管理DBを作成し、APIを用いて、内容をCursorに把握させる。
",,,,完了,"Python, Flask",開発環境のセットアップ
,2025-05-02,タスクマネージャー,,,• [ ]  Pythonのインストール確認,20b30729-ab39-80dc-b535-ce32b2d4936d,,,完了,"Python, MySQL, Github",環境構築の確認
・,2025-05-02,タスクマネージャー,,,当該プロダクトにおける、Cursor用のルールの作成を行う。,20b30729-ab39-80dc-b535-ce32b2d4936d,,,完了,Cursor,CursorのProject_Rules作成
